"seller_id","delivery_quality_orders","review_quality_orders","late_delivery_rate","avg_review_score"
"82cb9f452fe8334df74b22d37824b431",13,13,0.0000,4.69
"542917da124346b47ea1ac79a93ce454",19,19,0.0526,4.11
"3d8fa2f5b647373c8620330c4e077a9f",41,40,0.0244,4.29
"8a432f4e5b471f8da497d7dc517666e2",89,88,0.0225,4.31
c794dab4928dd97beb41d05514441e86,16,16,0.1250,4.38
"8b28d096634035667e8263d57ba3368c",135,133,0.1111,4.06
a6bd7d1ccdac48c6b33b28596b7eb122,13,12,0.0769,3.92
dc317f341ab0e22f39acbd9dbf9b4a1f,54,54,0.0556,4.15
"8b9d6eec4a7eb7d0f9d579ce0b38324d",44,44,0.1591,4.27
a36b125ac6d5fdbc7f50de85c9157bdc,23,23,0.0870,3.96
"9c068d10aca38e85c50202e17b4a7e88",14,13,0.2143,4.31
"7c67e1448b00f6e969d365cea6b010ab",963,957,0.0924,3.51
"5b33b527da3c5b969cc99dc435cad09a",16,16,0.0625,4.13
ccb83a794700270fde70898fe9ff368b,12,12,0.1667,4.33
cb6c9f5888a7a090c75beaf615925792,10,10,0.0000,4.10
b19f3ca2ea475913750f25a5c37c8d8f,18,18,0.3333,3.39
b18dc380845b24038cfc48006478f099,43,42,0.1163,4.21
"7f152321c60a266edc53af1925ef96c1",19,19,0.3158,3.95
"8ed8ea9a57c862f2c18c2fe41f601d56",19,19,0.0000,4.47
"5882820ef11c4c068eea0677a7a879b4",14,13,0.0000,4.15
"530ec6109d11eaaf87999465c6afee01",94,94,0.0106,4.34
"236585a4ddb5fea9fa40233e2249ed91",11,11,0.0909,4.09
"60562ab00b8054280520d390c8c0045c",17,17,0.0000,4.76
"6806dad1da97bfb5a9038eac6881f706",10,10,0.0000,3.95
d13e50eaa47b4cbe9eb81465865d8cfc,66,66,0.0909,4.82
"5b925e1d006e9476d738aa200751b73b",63,63,0.0635,4.60
"784ba75dd9d20200c4caed3d7a77141a",19,19,0.1053,4.13
"95ec4458365c4d11f452ccf538377619",24,23,0.0417,4.74
"7238a95bb63ef7e498389fb863b834a1",15,15,0.0000,4.73
"63b464dbf392c7b80d12d932fa7cafed",36,36,0.0556,3.86
"671585f5a2af58b6e276bc01003c0d2b",27,27,0.0000,4.70
d93844a9c55ba7ce353388bcf849ea56,12,12,0.0000,4.25
"99a54764c341d5dc80b4a8fac4eba3fb",41,40,0.1220,3.70
e7df4cd29ab5abab70fb0783ddb53987,22,22,0.0909,4.36
"5075aaa8404020ae6aa8bf4792099b41",10,10,0.0000,3.90
"8ae520247981aa06bc94abddf5f46d34",65,65,0.0000,4.45
"5b07547f10dd980738a1a27f685af669",13,13,0.1538,4.46
d3f39f05462b79a4562d35893a28f159,30,30,0.1333,3.80
"59cea8e446d3834393058e7e0666b6fb",10,10,0.0000,4.60
fcb5ace8bcc92f75707dc0f01a27d269,58,57,0.0345,4.04
dc8798cbf453b7e0f98745e396cc5616,35,35,0.0571,3.37
"39d54ff918774174706fb065d7f9dc07",20,20,0.1000,4.30
e883aa812c37a7413226856f4579fe91,26,26,0.0385,4.15
"0ef83d7d83ed97cd2a0049ac8be5f88a",46,45,0.0217,4.24
"08d2d642cf72b622b14dde1d2f5eb2f5",16,16,0.1250,4.31
"54a1852d1b8f10312c55e906355666ee",197,196,0.0761,4.37
fb89df7f89fd1b8f03fa2acca1ba7364,22,22,0.0909,3.86
"59cd88080b93f3c18508673122d26169",10,10,0.1000,4.70
"3f3486b61f45078d4f31ee5e43d8c5bb",39,39,0.1026,4.33
"093805f8f2aeb63881444571e1f48f30",22,22,0.0455,4.18
"062ce95fa2ad4dfaedfc79260130565f",52,52,0.0385,4.10
c3867b4666c7d76867627c2f7fb22e21,221,220,0.1131,4.10
f680f85bee2d253556ac91be391d2c82,45,45,0.0222,4.33
e9bc59e7b60fc3063eb2290deda4cced,200,200,0.0800,4.11
bd697db56ff8e7c9cd1abeb7f72029b2,20,20,0.0000,4.45
"3be634553519fb6536a03e1358e9fdc7",77,77,0.0779,4.09
"2089a6d640999f9b9141ac719b2af596",40,40,0.1250,4.00
"8fdca8e349553f99bc738833a62c8802",22,21,0.0455,4.19
"7b1222c3624aa89b9558b50a2594188c",22,22,0.1364,4.45
ea67327e24487bdfac5fbfa37ea124df,30,30,0.0333,3.70
"20d83f3ef0e6925fd74bfd59170babf7",34,34,0.0588,4.47
"537eb890efff034a88679788b647c564",148,148,0.0405,4.31
"1cbd32d00d01bb8087a5eb088612fd9c",11,11,0.0909,4.18
"45ba18c210d42734ec52c0c1c574e9ee",33,33,0.0303,4.24
"6fd52c528dcb38be2eea044946b811f8",67,66,0.1343,3.39
"5cbbd5a299cab112b7bf23862255e43e",33,33,0.0000,4.42
b5e3e38609125694d2ea2417522a60b7,16,16,0.1250,4.31
"1c40343cc5d18c2d8248ac2f3366de34",18,18,0.1111,4.56
e0878efa0e0b7e5313ac0b43bc04c081,26,26,0.1538,3.62
"54583ab379489add547fe47b628db589",10,10,0.0000,4.80
"96493fab2fbb13a14d0c0e8772eef5c3",63,62,0.0635,4.06
"7139dc5186aa238b006e066d8fbab2e4",22,21,0.1364,4.00
"244c2f1bff6afe1f2eaf9bfe9b2aed38",23,23,0.0870,3.78
d2e753bb80b7d4faa77483ed00edc8ca,11,11,0.0909,4.00
"710e3548e02bc1d2831dfc4f1b5b14d4",129,128,0.0388,3.44
"82e0a475a88cc9595229d8029273f045",40,40,0.1000,3.68
a17f621c590ea0fab3d5d883e1630ec6,58,56,0.0690,4.25
"17ca9b9e9b9ef8fdb529001b49ebb50f",112,112,0.0089,4.08
c68fb906c8f4b4b946d8386bfa6e5467,45,44,0.0222,4.52
"36a968b544695394e4e9d7572688598f",146,146,0.0342,3.74
"7040e82f899a04d1b434b795a43b4617",203,201,0.0788,3.64
"8daab2245ebdc277c51098d01c5ad8ef",16,16,0.0000,4.63
"26d6bbee02420494d471c9f6436929c0",12,12,0.0000,4.67
d12c926d74ceff0a90a21184466ce161,74,74,0.0135,4.36
cc419e0650a3c5ba77189a1882b7556a,1646,1642,0.0529,4.16
"20cb7c2fde3e5bf10f0bbe7394e1c6a9",31,31,0.0968,4.10
"8090490573c6c0aa343a7231ebcb8c86",26,26,0.0769,4.19
"282f23a9769b2690c5dda22e316f9941",97,97,0.0412,4.38
"4e5725ba188db8252977a4f0227bd462",21,21,0.2381,3.52
e96498ed8daaa3e9c23f7a62da76591c,34,34,0.1471,3.94
"058cb5aeb36d7c0fcae20fc85d5e0a59",11,11,0.0909,3.82
"2ff97219cb8622eaf3cd89b7d9c09824",85,85,0.0353,4.55
b1fecf4da1fa2689bccffa0121953643,19,19,0.0000,4.95
ff4e2d38692ce827b1a4f4b8196e680d,11,11,0.0000,4.27
ffa6adafb71b807dc13159e26431354c,17,17,0.0000,3.94
"850913d59ce317156b00f3705f1c3edb",28,28,0.1786,3.64
c66dccfb3f109511246da627dd5a2498,42,42,0.0476,4.60
"6061155addc1e54b4cfb51c1c2a32ad8",27,27,0.0370,4.78
b2ba3715d723d245138f291a6fe42594,320,317,0.0688,4.23
"813348c996469b40f2e028d5429d3495",170,167,0.0471,4.08
"44073f8b7e41514de3b7815dd0237f4f",141,140,0.0355,3.74
df56d7b40d437f88407c5f78b63bc328,22,22,0.0455,4.09
"02f623a8eb246f3c5f7c2f96462654e6",44,43,0.0682,4.56
"6a8a889bde935bafa76d7848782dfaf9",25,25,0.0800,4.16
"9d4db00d65d7760644ac0c14edb5fd86",97,96,0.0412,4.54
"5a413ade68e8f8d93071a7f52a64cb9e",14,14,0.0714,4.64
"73a63f72308aa20a46f4b1632018f196",23,22,0.0000,4.41
"2b3e4a2a3ea8e01938cabda2a3e5cc79",51,51,0.0000,4.43
"8931a84a914b3fe9b1ddaa4d704947ca",29,28,0.0690,4.07
"8cbac7e12637ed9cffa18c7875207478",64,64,0.0625,4.27
c70c1b0d8ca86052f45a432a38b73958,258,256,0.0543,4.38
"86bb7c4b535e49a541baf3266b1c95b1",16,15,0.1875,3.20
c4fb51fb1c5b7c07bc5e67be6e7e8f6e,15,15,0.1333,3.53
aced59e9b31ef866a94f9e7f29d8d418,57,57,0.0351,4.49
cc3d14116804f7209f3884f6367f1152,26,26,0.0000,4.62
df91910b6a03bb2e3358fa6a35e32f6f,12,12,0.0000,4.75
"1660ad786c27fd935378b6192a90b417",11,11,0.0909,4.91
"432c37c9dfba871172ec162e20118b8c",44,44,0.0909,4.25
"323ce52b5b81df2cd804b017b7f09aa7",29,28,0.1379,4.43
"55a5b51f93f2b70ea513f5a047b0262a",38,38,0.0263,4.53
"0ac4201fda2c68ebc0e47cb9423cf3c9",13,13,0.0769,4.23
"63a79f5a7eb5cb48a7e5787b141c7993",10,10,0.0000,4.50
dfc5fb7259bb2b599ca565e6e9448f0f,30,30,0.0333,4.30
"4305fe92735c8a43d154ff6dd2b8d927",17,17,0.0000,4.18
"9616352088dcf83a7c06637f4ebf1c80",91,91,0.0000,4.34
"1c5e4e49b9079480255b49d50aac1aa9",12,12,0.0000,4.33
"75fbb52eda0cbc24f479d3b2fbfa8d3e",37,37,0.0541,4.43
f84a00e60c73a49e7e851c9bdca3a5bb,87,87,0.1034,3.89
d650b663c3b5f6fb392b6326366efa9a,56,56,0.0536,4.43
a3e9a2c700480d9bb01fba070ba80a0e,118,117,0.0932,4.07
ff063b022a9a0aab91bad2c9088760b7,91,91,0.0330,4.38
"7299e27ed73d2ad986de7f7c77d919fa",330,330,0.0424,4.43
"2e3be8a987a30d7544dbbda6861cc14e",14,14,0.0714,3.79
"3bb548e3cb7f70f28e3f11ee9dce0e59",42,42,0.0000,4.36
b94cc9f10ddc85e4ba73a6f7974e7101,39,37,0.0513,4.30
"0417b067eeab773d2f7061a726dc477f",13,13,0.2308,3.92
"8f78f0903005064036736c7173a5c2ed",13,13,0.0000,3.77
d4910f1cdcfdabd48d6b316e395d4a23,11,11,0.0000,4.91
"4736e9d642ef4257cd7622516931eb51",16,16,0.0000,4.13
"3f995f07c49d0d55a99d5c54957f7d81",43,43,0.0233,4.21
"6860153b69cc696d5dcfe1cdaaafcf62",74,73,0.0811,4.10
"15cd6eefe58588619aaed41dfa6621b1",15,15,0.0667,4.47
"4869f7a5dfa277a7dca6462dcf3b52b2",1111,1103,0.1062,4.18
c826c40d7b19f62a09e2d7c5e7295ee2,344,343,0.0756,4.14
"128f9bfbe4c7d5185033914b1de3d39a",13,13,0.0769,4.77
"6a51fc556dab5f766ced6fbc860bc613",24,24,0.0833,4.00
c013e57c075a06e5b5c48ee03c525719,40,40,0.0500,4.30
"3785b653b1b82de85ab47dd139938091",20,20,0.0000,4.70
cb5df0dcb9e280b1780e9d589889f2c7,11,10,0.1818,3.40
"2b1a40c1daabc6ca280c4b815c101841",22,22,0.0455,3.82
"45d33f715e24d15a6ccf5c17b3a23e3c",51,51,0.0588,4.41
b335c59ab742f751a85db9c411a86739,29,29,0.0345,4.03
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,20,0.2000,3.65
"17e34d8224d27a541263c4c64b11a56b",246,244,0.0772,4.26
"5dceca129747e92ff8ef7a997dc4f8ca",317,313,0.0568,4.03
"7178f9f4dd81dcef02f62acdf8151e01",202,201,0.0347,4.06
d9bd94811c3338dceb4181f3dbc0c73e,54,54,0.0556,4.80
"6edacfd9f9074789dad6d62ba7950b9c",196,196,0.0459,4.47
"5bc24d989e71e93c33e50a7782431b0e",17,17,0.0000,4.35
c8417879a15366a17c30af34c798c332,24,23,0.0417,4.26
d4e12e7884759a14fa0f5f896c791cae,29,29,0.0690,4.62
"0eaa7e33d73809f1f925f7d07c506cbd",15,14,0.0000,4.71
"40db9e9aa57f7bb151bcda6b0f9bdbb7",12,11,0.0833,2.36
b410bdd36d5db7a65dcd42b7ead933b8,42,42,0.0000,4.81
"7ade73f1b9b4e965f9009a4c3a7e2c15",25,25,0.0000,4.84
dfa0c4c6229ab200a4a1336b4d7128ff,72,72,0.0139,4.15
"25e47381a6c510ddeb36084e33b89f0c",16,16,0.0000,4.25
cd68562d3f44870c08922d380acae552,122,121,0.1557,4.02
"3d871de0142ce09b7081e2b9d1733cb1",1044,1033,0.0556,4.21
"66922902710d126a0e7d26b0e3805106",148,147,0.0743,4.52
"80e6699fe29150b372a0c8a1ebf7dcc8",94,93,0.0319,4.41
"4559697a8f7e637227c2eeaed843baff",39,39,0.0769,4.21
d93919c944be9cff128f6c9cb899eacb,33,33,0.1515,4.00
b8630e1121437d41cb08e3c749c2c2e2,12,12,0.0833,4.33
"3c010235b7345c92f125d14ee232a76b",15,15,0.0000,4.67
bba3293d6f5d5af2f415e004e8b93ae3,17,17,0.0588,4.29
"343e716476e3748b069f980efbaa294e",16,15,0.0625,4.27
"2f74af7a0ee5636f12c2336f9fffed47",13,13,0.0000,4.31
e2aee0892199b1d92530e371abd825bf,34,34,0.1471,3.94
"72bc2cce903c872fe376a8faaa81d237",17,17,0.0000,4.65
"7008613ea464bad5cb9b83456e1e6a8f",123,122,0.0488,4.28
f7720c4fa8e3aba4546301ab80ea1f1b,57,57,0.0526,4.29
"4c2b230173bb36f9b240f2b8ac11786e",253,249,0.0949,3.99
"1da366cade6d8276e7d8beea7af5d4bf",41,40,0.0732,4.05
"77fccaae319668a8ab6cd0fd16aec48c",11,11,0.0000,4.45
afa6714acee029b2dfdf357e5579cc03,16,16,0.1250,4.25
ef506c96320abeedfb894c34db06f478,309,307,0.0809,3.98
"955fee9216a65b617aa5c0531780ce60",1252,1244,0.0615,4.21
"951e8cef368f09bb3f3d03c00ca4702c",59,57,0.0678,4.21
"89a51f50b8095ea78d5768f34c13a76f",10,10,0.0000,4.70
e38db885400cd35c71dfd162f2c1dbcf,30,30,0.1000,4.47
"9b013e03b2ab786505a1d3b5c0756754",167,166,0.0419,4.25
"9baf5cb77970f539089d09a38bcec5c3",31,31,0.0000,4.42
"02dcd3e8e25bee036e32512bcf175493",13,13,0.3077,4.08
"5656537e588803a555b8eb41f07a944b",169,169,0.0533,3.91
ad97a199236354e53fcd91a5a913e9a2,16,16,0.1250,4.50
a2deecd5398f5df4987110c80a1972a3,13,13,0.0000,4.27
e601b04acf48b4576e73ddca9481f0dc,14,14,0.0000,4.29
"1336efc61c316ddf92c899eb817f7cae",66,66,0.0909,4.26
"8c16d1f32a54d92897cc437244442e1b",106,105,0.0094,4.40
"0c8380b62e38e8a1e6adbeba7eb9688c",170,169,0.0529,4.12
"41b39e28db005d9731d9d485a83b4c38",176,176,0.0511,4.23
d66c305afaec317ebee552073a674429,37,37,0.0270,4.57
"42fa4ee7240e9b8eb4576358ec142ba7",21,20,0.0000,4.80
"3078096983cf766a32a06257648502d1",56,56,0.0357,4.30
"0df3984f9dfb3d49ac6366acbd3bbb85",83,83,0.0120,4.46
"1eade46fba20122dc4aefb379f8c636b",58,58,0.1207,4.43
"1dcfa3835714681d4ba4a93bc1e0fd41",12,11,0.0000,4.27
"0249d282d911d23cb8b869ab49c99f53",10,10,0.2000,4.50
"968268a686aa05d1f529fb07dff08130",12,12,0.0000,3.50
ed4acab38528488b65a9a9c603ff024a,31,31,0.0000,3.81
e24fc9fcd865784fb25705606fe3dfe7,51,51,0.0784,4.16
"004c9cd9d87a3c30c522c48c4fc07416",155,153,0.0645,4.16
c8b0e2b0a7095e5d8219575d5e7e1181,82,81,0.0732,4.11
"5b67882648febfb6e1225e6ad7164f6b",25,25,0.0400,4.08
"87142160b41353c4e5fca2360caf6f92",301,300,0.0399,4.43
"609e1a9a6c2539919b8205cf7c4e6ff0",78,76,0.0128,3.97
e64d65bc8dbec2accda90c58de5d1246,12,12,0.2500,3.08
"62c50c1af4dfdc4149d25c5222043d39",12,12,0.0000,4.08
"8648b1e89e9b349e32d3741b30ec737e",91,91,0.0989,4.16
"3c4e0452bff7a2a788179488d3d77032",32,31,0.0313,3.84
f593898ec748b7a8cb81fc04edafd98a,18,18,0.1667,3.61
"30a81d8cf85fb2ada1b1b094c9583a95",17,17,0.0000,4.82
ec4608a1f76453166bb312b2968aeaf4,15,15,0.2000,3.47
"55bb6fe5bebe5012e2d7d9928e1128ff",15,15,0.1333,3.47
dbd66278cbfe1aa1000f90a217ca4695,83,83,0.0361,4.54
"33ac3e28642ab8bda860a2f693000e78",33,33,0.0000,4.30
"57e632711dec9ec14ca7546769483e7e",60,60,0.0000,4.43
"974cf2cb8f4b7add98709c30df02fe10",30,30,0.0333,4.17
"8602a61d680a10a82cceeeda0d99ea3d",12,12,0.0000,4.58
febab0275244b9a49a623f0bd613ca2f,98,98,0.0408,4.51
"8ca1551acf9832a4cf467bbbac15851f",10,10,0.1000,4.20
b9a03475e6447e631b6799ec8274800f,10,10,0.0000,4.20
db4350fd57ae30082dec7acbaacc17f9,128,127,0.0391,4.24
"1dfe5347016252a7884b694d4f10f5c4",18,18,0.2778,3.44
"1f50f920176fa81dab994f9023523100",1364,1359,0.0909,4.18
aae3bfea055532c57fb453ed3ec80b30,47,46,0.0000,3.65
b561927807645834b59ef0d16ba55a24,82,82,0.1463,4.33
"2138ccb85b11a4ec1e37afbd1c8eda1f",374,373,0.0481,3.99
"788e857f317e53de488d393e65a80f45",11,11,0.0000,4.91
c4d51195486dc781531876a7d00453d8,17,17,0.2941,3.94
"165b1235e9e9942cb5fae67103576fb0",11,11,0.0909,4.36
"141440cad9341e553f8401c574a2aa38",11,11,0.0000,4.45
"701938c450705b8ae65fc923b70f35c7",74,73,0.0405,4.00
"95f83f51203c626648c875dd41874c7f",44,44,0.0227,3.70
"91f0eec23d4a61d7d7caeefa3f0ad1ca",11,11,0.2727,3.55
"07bf9669d84d1f11be443a9dd938f698",18,18,0.0000,3.72
"23a0ffca143a15b9b5bbdb7d552f626a",22,22,0.1364,3.95
"01fd077212124329bac32490e8ef80d9",29,29,0.0345,4.34
a3f0b55de503387383c7b1de3ad7f678,23,23,0.0435,4.39
bd1d49a326abfa9b1036772e40445430,12,12,0.0833,4.08
"7722b1df1b0e383e000397b2c11e3e19",126,126,0.0317,4.28
e8b4225284fbb02d16f200513f1f395d,30,30,0.1000,4.30
d05ae8f7a5bd1d2a690a44cd079e4e27,75,74,0.0667,3.95
"522620dcb18a6b31cd7bdf73665113a9",170,167,0.0882,3.92
c26a2be5b53b7db6b276280da212a779,13,13,0.0000,3.38
"4200ddf1967c5e41e48db62bc6d4b5ac",20,17,0.0500,4.41
"83645b1645cdee8953ee54c29ceed564",14,14,0.0000,4.43
bf3c6d2a28b2b5501e6c15448982dcc9,35,35,0.0286,4.60
b2c97074649f92197d9387d9033dda5f,10,10,0.1000,4.70
"0b90b6df587eb83608a64ea8b390cf07",158,157,0.0380,4.07
"850f4f8af5ea87287ac68de36e29107f",182,179,0.0495,4.34
"8581055ce74af1daba164fdbd55a40de",375,374,0.0827,4.32
"054694fa03fe82cec4b7551487331d74",20,20,0.3000,3.40
"7e26c750b4cb9f6766f58265ff9ebe95",23,23,0.0000,4.43
"6b3bd31ad8fcda4b2635ec9f3ff2ecdf",30,30,0.1000,4.40
"3bdff180c7e1f6551a643b99c265a120",56,55,0.0179,4.25
"2a5b78b41cd05baeac8df54c6606b92c",45,45,0.0222,4.53
"5f26c1408a65b42a7224cd463bdf3292",10,10,0.0000,4.80
"688756f717c462a206ad854c5027a64a",72,71,0.0417,3.99
fdb9095204a334cd8872252ffec6f2db,45,45,0.0667,4.17
"06df0c10d34e459d9672bc77388742eb",26,26,0.0385,4.35
b1ac6ea7895bc3dd6f0f6f4abbdd2821,38,38,0.0000,4.53
"1025f0e2d44d7041d6cf58b6550e0bfa",879,872,0.0819,4.04
"271c58a1d139c45eaf3316107c6d3a3b",27,27,0.0741,4.19
cc63f0dd2acba93ffed4fe9f8e0321fa,55,55,0.0000,4.09
"080102cd0a76b09e0dcf55fcacc60e05",120,120,0.0417,4.54
"080199a181c46c657dc5aa235411be3b",79,78,0.0127,4.62
"373ee4a3a775a733770ca3f790b8b9ac",13,13,0.0769,3.92
"06579cb253ecd5a3a12a9e6eb6bf8f47",60,60,0.0667,4.17
f214d28e8d8e3ef068748498ccc2f813,51,50,0.0784,4.26
dc4a0fc896dc34b0d5bfec8438291c80,211,211,0.0664,3.87
d921b68bf747894be13a97ae52b0f386,76,76,0.0132,4.61
e06f09ec0a4aca210779cf1cfc63cf19,29,29,0.0690,3.95
c2d70ce2c5d0a2eb75e78668236e6dc8,13,13,0.0000,4.62
eb5b6204dde3a6e03b5f1bb8479f055b,19,19,0.0526,3.95
fe2032dab1a61af8794248c8196565c9,288,284,0.0903,4.42
"7901646fdd36a55f564ffaf2dbccaaf7",22,22,0.0909,4.50
d1c281d3ae149232351cd8c8cc885f0d,192,191,0.0729,3.93
"12b9676b00f60f3b700e83af21824c0e",133,132,0.0075,4.54
e882b2a25a10b9c057cc49695f222c19,57,57,0.0000,4.58
"00fc707aaaad2d31347cf883cd2dfe10",98,98,0.0408,4.08
f12ff17ad8bbf01ec5c33b17e506649b,28,28,0.1071,3.86
"56642bcb79900e777d68e91915cb4267",48,48,0.0833,4.06
"640e21a7d01df7614a3b4923e990d40c",105,105,0.0476,4.41
"4ba52dfeba874da5b9ee7b17c7494f04",11,11,0.0909,4.36
"70a12e78e608ac31179aea7f8422044b",307,305,0.0945,3.80
f41ce2e25237f9092cd8e6e7516c7a2f,26,26,0.0000,4.42
"33cbbec1e7e1044aaf11d152172c776f",15,15,0.0000,4.73
"23c38debaffe4a25a30fdbd9b586a13f",40,40,0.1250,4.35
"575df70bde3f9f2b30bf8d2e9910d725",25,25,0.0400,4.24
"6338ea67c41078a46ad99cc009654956",36,34,0.0000,4.62
"6b90f847357d8981edd79a1eb1bf0acb",45,45,0.0000,4.36
c731d18cea9bf687ffee82a241c25b11,20,20,0.0000,4.70
"6d22a1fcebb6dd08c9cd90b92a93e8d0",11,11,0.0000,4.36
"8d79c8a04e42d722a75097ce5cbcf2ef",25,25,0.0800,4.56
"822bad9bc42b51213ba522fe87b7ab5d",17,17,0.2941,4.24
ede0c03645598cdfc63ca8237acbe73d,43,42,0.3256,3.57
"916748bc99315c2d202898ae58b1617e",25,25,0.0000,4.28
"7bac63f6603d382cc8d0832eb6c100a8",19,19,0.1053,4.00
"7c4618c82226628831613e95e9c22f44",12,12,0.0833,4.25
d9442042130b7fe579d1295f9f4a248f,19,19,0.0526,4.37
dbdd0ec73a4817971d962698f2fea022,16,16,0.0625,4.38
e3a386fc36e22064434e1fa256f6a9fa,16,16,0.1250,4.19
bd15ee794d5e640d9dd71b665b2ab15b,11,11,0.1818,4.00
"55d3daac7c404d59e51c2aa2f4dc5a23",21,21,0.0000,4.10
b4a476fbd28de64b1e347abf9089366a,29,28,0.0690,4.11
"820cc752a266cdc6c1a1e61dd4583330",15,15,0.0667,4.13
"1554a68530182680ad5c8b042c3ab563",242,240,0.0620,4.37
af4a0e4cfe1d9c26b6712b1be25a72e5,19,19,0.0526,3.63
"54965bbe3e4f07ae045b90b0b8541f52",72,68,0.3056,3.18
"9add47bf45ce8e8c7db6b9cf670b1e09",40,39,0.0250,4.21
aac51c486b672a9850d59f3e84b1cf88,10,10,0.0000,4.80
"1dc2de47ee26a0a5b12dc14fd6dc0dea",24,24,0.0417,4.54
"744dac408745240a2c2528fb1b6028f3",77,77,0.0130,4.62
f0b47fbbc6dee9aafe415a6e33051b3f,64,64,0.1094,4.31
d50d79cb34e38265a8649c383dcffd48,68,67,0.0441,4.24
d03698c2efd04a549382afa6623e27fb,17,17,0.0588,4.71
e21a1e8be4715b0fcfd5385643bc49c4,19,19,0.0000,3.84
"6481e96574816ead57975da2c0f6d80d",31,31,0.0323,4.26
d673a59aac7a70d8b01e6902bf090a11,70,70,0.0857,4.10
"50c9975695009e5e6473912e83a6d1da",49,48,0.1429,3.96
"6bbcb8924baf70b7fe2fe2097e8cd407",10,10,0.0000,4.50
"53e4c6e0f4312d4d2107a8c9cddf45cd",444,443,0.0495,4.14
"76d5af76d0271110f9af36c92573f765",125,124,0.0960,4.18
"2a84855fd20af891be03bc5924d2b453",153,152,0.0261,4.38
"49e7217cfe4e427191c378ec626d8737",12,12,0.0000,4.08
"1d503743d2526f03f0c2c89540ee008c",12,12,0.0833,3.92
"17306570e772e7718c92a562d33f5f1d",26,26,0.0769,3.73
bba74270a87732727b5a3b4fd9ac1c39,35,35,0.0000,4.06
